Id,total_wages
23000,16221.91053254083
23001,35387.654869269565
23002,102829.1747541923
23003,64510.19552927092
23004,63.107634827989386
23005,10852.847037172076
23006,37527.97489584074
23007,-1539.1925756032288
23008,-852.5881132742288
23009,34057.53950136306
23010,23142.627110439942
23011,2228.623179606395
23012,27615.99420834081
23013,25030.38006524954
23014,-1586.3433591836874
23015,10933.120918504792
23016,2258.9864730715053
23017,26207.49460060466
23018,-1064.5943210021069
23019,172969.1668094331
23020,82539.4213411781
23021,170.61258782912773
23022,87975.82433252863
23023,12996.16556345352
23024,3036.9946486618574
23025,4632.9431776915735
23026,39094.35309131374
23027,54376.07907405328
23028,22312.206408500657
23029,-898.936688772912
23030,92928.80347054853
23031,-1143.8229712487664
23032,66673.00629772604
23033,26917.19204225196
23034,26742.457445881548
23035,80485.09095812147
23036,102487.39303550503
23037,3552.8031227570755
23038,20705.66055915653
23039,22312.206408500657
23040,71364.77088233083
23041,3603.8957671039097
23042,661.2601930959645
23043,28562.847190405635
23044,4873.127176190006
23045,1056.6729259829008
23046,4095.280412362634
23047,15114.502095169839
23048,17205.053530502897
23049,-669.8011319693178
23050,16989.106686862695
23051,12055.552824812119
23052,53786.3513751213
23053,5098.813110198287
23054,38304.30541661268
23055,503.73385961230815
23056,16242.558926646772
23057,13353.551915882876
23058,27429.925234734685
23059,26601.78085085065
23060,2590.186688348287
23061,37441.89790153867
23062,-3207.331452260769
23063,-275.032944088387
23064,22312.206408500657
23065,66755.64897321373
23066,52262.14530245098
23067,8590.046409538307
23068,75489.07359566714
23069,52019.071070303165
23070,33959.32704779762
23071,13353.551915882876
23072,-6375.338552808069
23073,35247.9914521786
23074,11204.92707097195
23075,1222.3172702543088
23076,-1264.0504714177441
23077,63219.32842648182
23078,26207.49460060466
23079,-304.64561176615825
23080,1389.6213274325492
23081,10117.577738813248
23082,26684.154923091155
23083,19999.72915830458
23084,31588.872433276003
23085,12996.16556345352
23086,93475.07184012464
23087,91511.41623985635
23088,156283.60021162618
23089,2228.623179606395
23090,49859.69404437514
23091,25247.068970267414
23092,-1454.1813811955653
23093,58690.3292738201
23094,22312.206408500657
23095,80008.39705776772
23096,92494.40489672212
23097,41183.90602877899
23098,13353.551915882876
23099,74731.8825199367
23100,48734.141332258645
23101,4083.9178828299337
23102,2228.623179606395
23103,-4130.767153950932
23104,9497.66157388383
23105,29558.722304037947
23106,92314.16836694547
23107,32957.02581583978
23108,22568.450306640705
23109,-1519.3188877107168
23110,5555.6716587253395
23111,13353.551915882876
23112,2228.623179606395
23113,-1708.8746423837147
23114,-16499.98761685429
23115,4641.131054925958
23116,43304.83655883618
23117,33376.11632682261
23118,79071.03634267044
23119,-1378.9844440011439
23120,22312.206408500657
23121,1862.3155284854438
23122,13601.470085487985
23123,26601.78085085065
23124,132797.09272029463
23125,37943.1325787199
23126,16812.070398390293
23127,96224.290468572
